"Data Source","World Development Indicators",

"Last Updated Date","2020-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Belgium","BEL","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","","17.13532","17.54559","19.51744","20.50785","20.80525","","","24.39679","25.64981","25.11826","24.48595","26.41571","27.14603","28.19136","30.88914","31.67756","32.99661","34.00875","35.55628","37.68367","39.10773","","44.85169","47.91451","53.43437","55.44696","","","57.12717","58.16906","58.85634","59.38278","59.83446","61.02287","61.08548","61.65359","61.20013","62.08624","65.26769","67.82901","69.84253","71.19202","72.11549","72.9974","74.55976","75.89064","79.66173","","",
"Benin","BEN","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","","0.12877","0.23621","0.4305","0.70971","0.68632","0.74316","0.98976","1.09576","0.97329","1.06028","1.45707","1.73175","1.87917","1.94499","2.01416","2.41411","2.29047","2.22248","2.36404","2.15538","2.46031","2.31566","2.09527","2.14401","2.14355","2.11245","2.562","","3.26562","3.71153","4.49685","5.32183","5.90655","5.98285","5.91417","6.81086","8.13719","8.04726","10.23199","13.77512","12.85589","13.9552","15.96484","15.95352","13.55343","12.9494","12.27414","","",
"Burkina Faso","BFA","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","","0.03754","0.04693","0.05495","0.08602","0.1012","0.20179","0.18334","0.22276","0.22923","0.21322","0.27835","0.42615","0.50091","0.53962","0.59314","0.61182","0.63895","0.67857","0.75443","0.75606","0.70098","0.93005","1.08194","1.05425","1.09778","1.05427","0.96924","","0.99913","","1.15666","1.41178","1.60116","","2.30734","2.44097","2.61219","3.18105","3.53374","3.57942","4.14652","4.55887","4.77675","5.07697","5.06383","5.56196","6.0034","6.50187","",
"Bangladesh","BGD","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","2.13339","","2.44963","2.56056","3.35886","","2.79823","3.00669","2.39063","3.36555","3.24599","3.09603","3.80131","4.67838","5.04444","5.11443","4.98486","4.32374","3.7182","3.67474","4.20896","","","","","","","","","5.63344","5.63134","6.65154","6.34442","6.39096","5.88915","6.4467","7.3612","7.93297","8.88409","10.85809","","13.69156","13.801","","13.86508","","17.87436","18.15146","20.56507","",
"Bulgaria","BGR","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","","14.25056","15.5041","17.13919","18.03173","19.05385","19.43024","19.74671","21.97376","18.23545","17.05952","16.10189","15.63684","15.4118","15.9854","17.02923","18.70066","20.75403","22.54715","25.01055","26.15537","30.98032","30.37959","31.83337","33.58517","36.40219","40.94532","42.96567","42.78302","44.83276","44.12976","42.78108","40.88225","41.62207","42.55524","45.36802","47.15087","50.58833","51.91331","54.23545","57.79518","59.02869","61.35998","64.19198","67.56356","70.30154","71.24574","71.03066","","",
"Bahrain","BHR","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","","1.51356","1.43224","1.43247","2.2393","2.23843","2.19489","3.52076","3.25162","2.76427","3.22312","4.67865","5.88692","","","12.1615","12.71715","9.54413","13.29313","","","17.22944","16.95249","17.55382","16.76971","16.56093","17.60574","","","21.64746","","","","27.94311","","23.95824","22.79489","","","","","43.96669","43.19741","39.54289","41.32924","43.27575","46.56614","47.14588","50.4819","",
"Bahamas, The","BHS","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","","","","","","","","30.12882","27.53321","25.74971","18.71913","16.35368","15.20021","11.63673","13.54841","15.00076","17.44437","19.35408","20.9262","","","","","","","15.05818","","","","","","","","","","","","","","","","","","","","","","","","",
"Bosnia and Herzegovina","BIH","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.97106","22.97824","23.34466","","","","","","","","","","","","","","","","","",
"Belarus","BLR","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","","40.97263","","","","","37.26009","","","","38.38587","39.68625","39.96981","41.18185","42.57104","44.4088","45.58386","46.69733","47.64348","48.20013","49.51083","48.20178","44.27216","43.66906","41.68539","40.71275","44.90518","45.57012","49.65984","52.65364","55.08984","57.51347","60.09337","62.86723","65.01206","67.57421","69.71343","71.66675","71.22473","74.45922","79.57814","86.13762","92.07143","93.54328","91.50016","89.56716","88.18458","88.45143","87.42909","",
"Belize","BLZ","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","","1.03272","0.84559","","0.89547","0.94171","","","","","","","","","","","","","","","","","","","","","","","","","","14.66573","16.50701","15.83844","15.40245","16.02117","17.01988","18.18182","19.09912","22.41008","21.86788","21.90514","24.32075","24.16824","24.00411","23.25367","24.21411","24.65664","","",
"Bermuda","BMU","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","","","","","","","","","","7.48264","9.67412","10.28069","","","","","","","","","","","","","","","","","","","","","","","","","29.01057","25.9357","26.22478","32.91566","30.74873","32.01658","31.61019","30.3114","28.23649","25.14212","","17.83355","19.02726","",
"Bolivia","BOL","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Brazil","BRA","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.08416","","18.15428","20.69567","23.21699","24.49124","25.98963","","30.78669","35.5621","37.0384","","43.45983","44.96641","46.81655","49.91353","51.05413","50.48851","51.3436","","",
"Barbados","BRB","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","","3.20629","4.20897","5.09931","5.54165","","","","","","","14.42057","17.57671","","18.63226","19.3693","","","","16.81525","16.75686","26.12538","27.3953","25.51108","","","","","","34.96663","40.57286","39.82133","","","","","","59.73393","","75.69624","69.80744","65.42534","","","","","","","","",
"Brunei Darussalam","BRN","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","","","","","","","","1.95742","","2.17153","","","","1.01334","2.8869","","2.92059","4.34163","","","","","5.3119","5.4181","5.61863","","","","9.65255","11.96783","12.68709","14.24075","13.91759","14.00622","14.68594","14.56069","14.50456","15.01222","15.73895","16.76596","15.45914","17.40432","22.42971","24.3401","32.02042","31.30059","31.92415","33.56496","31.39258","",
"Bhutan","BTN","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","","","","","","","","","0.40715","0.74305","0.87942","","","0.71989","","","","","","","","","","","","","","","","2.67416","","","","","","5.039","5.30335","5.70472","6.75873","6.49166","7.24678","8.91947","9.50961","10.90072","","","","","15.55451","",
"Botswana","BWA","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","0","0","0.36309","0.41721","0.46239","0.7079","0.75629","0.86257","1.02122","1.1121","1.34461","1.436","1.59144","1.66149","1.87738","2.05344","2.39967","2.64737","","","","4.33633","","5.03866","5.47642","5.20505","5.62719","","6.14023","6.52502","7.35285","7.93669","8.27391","9.63696","10.21485","9.92902","10.89706","11.11516","15.47852","23.68351","20.84838","18.5427","22.83048","","27.30731","30.23934","25.91087","24.85997","","",
"Central African Republic","CAF","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","","0.10641","","","0.24636","0.26153","0.40928","0.44025","0.57929","0.82236","1.11819","0.88529","1.26317","1.03157","1.11068","1.1236","1.14799","1.04795","1.16442","1.28342","1.42908","1.54084","1.43028","","","","","","","1.94581","1.9174","","","","1.72571","","1.14202","","2.34291","2.53539","2.67115","3.13708","2.9803","","","","","","","",
"Canada","CAN","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","","","","","","","48.03857","","","","","","","","","","70.59153","","","83.08904","90.52835","95.54934","97.61021","88.22052","90.09745","90.5424","89.21377","","59.50188","60.25187","59.11446","","59.54659","","","","","63.60006","63.7674","63.06577","61.65585","63.46732","63.98077","65.3323","65.61291","64.78696","66.43918","68.92251","","",
"Central Europe and the Baltics","CEB","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","12.83298","12.81768","12.59643","12.80148","13.34934","13.93753","14.71593","15.36561","15.82213","15.867","15.95797","16.10018","16.19371","16.12947","16.39387","16.49756","16.67837","16.71433","16.74991","17.18059","17.40418","18.40055","18.40376","19.69297","22.21585","24.3447","27.91095","30.61293","31.60723","35.39858","38.877","42.98625","46.60897","50.08497","53.49282","57.01634","59.76753","62.58726","65.85361","67.7014","68.20904","67.04165","65.19365","63.61439","62.08801","61.04804","61.1347","61.51065","61.51065","",
"Switzerland","CHE","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","","10.04365","10.58008","11.37128","12.42974","13.19722","13.88919","15.75527","16.41097","17.21065","17.91974","18.55678","18.85587","18.84466","19.43014","21.09674","21.64961","22.68453","23.38271","24.00201","25.60501","26.8573","28.1335","29.22532","30.46475","31.3387","32.39654","","35.2897","36.99367","37.77896","39.77228","40.94655","44.03967","45.60078","45.80415","46.5378","47.24253","48.83328","50.14809","52.93773","54.48452","55.52047","56.27015","57.22972","57.70735","58.04695","59.56299","","",
"Channel Islands","CHI","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","8.42936","10.44299","12.67716","14.1505","13.65225","13.79782","12.17424","11.77925","11.51806","11.01303","12.36781","","13.07453","14.60267","15.34016","15.98257","17.30162","18.0979","18.95202","","","21.15908","24.01112","26.18572","26.92556","27.43599","29.20949","30.10981","32.00794","35.36762","35.3763","","40.37825","43.46954","43.93025","49.36884","48.23467","53.95667","56.73127","60.9115","67.86343","72.27679","75.93107","79.95629","82.84638","85.26672","87.18814","88.46442","","",
"China","CHN","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","0.12821","","","0.20639","0.33842","0.47586","0.56507","0.63722","0.7063","0.96615","1.13033","1.78178","","","2.01843","2.4366","2.97223","3.11257","3.08206","2.99196","2.97256","2.89146","2.80566","2.88969","3.61141","4.39014","4.91532","5.35011","5.86393","6.39428","7.59041","9.78911","12.62848","15.45268","17.69126","19.087","20.21919","20.52122","20.68412","22.44306","24.19849","25.64785","28.72567","32.43367","42.43073","46.04043","48.01902","49.07326","50.60444","",
"Cote d'Ivoire","CIV","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","","1.12315","1.10344","1.25743","1.26225","","1.3042","1.50885","1.69185","1.9794","2.19117","2.86265","2.62656","","2.43519","2.43484","","2.72353","","","","","2.84567","3.41767","4.29367","4.28322","","6.57524","","6.65377","","","","","","","","9.00826","8.50841","8.35795","7.67225","3.42073","","8.23078","8.31519","8.79438","8.94925","9.34137","","",
"Cameroon","CMR","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","","0.48609","0.60615","0.76805","0.92213","1.04805","","","","1.61697","1.81054","1.61186","1.67036","1.74069","1.93817","2.13187","","2.40061","2.57117","2.56016","2.91888","3.22106","","","","","","","","4.91421","4.64524","4.6557","5.08507","5.12258","5.09329","5.8506","6.8095","7.26151","7.88311","9.0476","11.15702","12.07216","13.09234","15.29166","16.28087","16.96239","12.47753","12.76025","","",
