"Data Source","World Development Indicators",

"Last Updated Date","2020-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Bangladesh","BGD","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","870","910","960","1010","1050","1100","1150","1200","1250","1300","1370","1450","1510","1590","1690","1830","2010","2200","2380","2490","2640","2830","3190","3400","3590","3790","4070","4340","4750","5190",
"Bulgaria","BGR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6940","6470","6790","6900","7180","7550","6620","5570","6060","5730","6270","6970","7950","8540","9300","10320","11110","11860","13650","13730","14560","15170","16020","16220","17400","17770","19270","20850","22810","23880",
"Bahrain","BHR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28280","31310","32190","34690","34260","36690","38110","37590","39050","39240","41140","40590","39640","40950","42250","44230","45240","46880","46130","41630","42550","41180","49020","49600","48600","43140","42300","44970","44720","44140",
"Bahamas, The","BHS","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20810","20200","19860","19840","20530","23790","26180","23160","24130","26250","27550","28270","29110","28860","29410","30690","31710","32400","32190","30300","30460","30940","31880","31750","31260","32390","32920","34260","34340","35760",
"Bosnia and Herzegovina","BIH","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","850","1080","2210","3090","4430","4770","5040","5190","5530","5720","6500","6750","7630","8430","9360","9390","9510","10060","10380","11160","11530","12100","13010","13740","14890","15770",
"Belarus","BLR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5230","5340","4930","4650","4170","3840","4040","4580","5040","5330","5780","6220","6690","7370","8490","9630","10970","12220","13780","13830","15050","16170","17660","18260","18360","17240","16900","17580","18640","19340",
"Belize","BLZ","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3270","3690","4130","4400","4360","4400","4380","4470","4460","4710","5210","5320","5530","5880","6030","6220","6550","6430","6630","6930","6800","7170","6700","6680","6560","6840","6740","6510","6580","6630",
"Bermuda","BMU","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29770","29780","30440","31930","32580","34470","","","","","","","","","","","","84100","83750","76640","77120","76250","74050","75620","","","","","","",
"Bolivia","BOL","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2250","2410","2490","2600","2730","2860","2990","3140","3280","3270","3350","3410","3490","3540","3690","3930","4180","4400","4710","4790","4940","5200","5570","6210","6690","6890","7360","8190","8650","8910",
"Brazil","BRA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6520","6760","6780","7110","7420","7970","8060","8310","8200","8160","8800","8960","9250","9420","10140","10670","11350","12280","12990","12980","13860","14650","14670","15370","15430","14470","13950","14250","14520","14850",
